2017-12-18,Pittsburgh Penguins,Colorado Avalanche
2017-12-18,San Jose Sharks,Edmonton Oilers
2017-12-19,Carolina Hurricanes,Toronto Maple Leafs
2017-12-19,Boston Bruins,Buffalo Sabres
2017-12-19,Detroit Red Wings,New York Islanders
2017-12-19,Anaheim Ducks,New York Rangers
2017-12-19,Minnesota Wild,Ottawa Senators
2017-12-19,Winnipeg Jets,Nashville Predators
2017-12-19,Washington Capitals,Dallas Stars
2017-12-19,Florida Panthers,Arizona Coyotes
2017-12-19,Montreal Canadiens,Vancouver Canucks
2017-12-19,Tampa Bay Lightning,Vegas Golden Knights
2017-12-20,Toronto Maple Leafs,Columbus Blue Jackets
2017-12-20,Detroit Red Wings,Philadelphia Flyers
2017-12-20,St. Louis Blues,Calgary Flames
2017-12-21,Winnipeg Jets,Boston Bruins
2017-12-21,New York Rangers,New Jersey Devils
2017-12-21,Anaheim Ducks,New York Islanders
2017-12-21,Columbus Blue Jackets,Pittsburgh Penguins
